
image no,detector,descriptor,TTC by Lidar,TTC by camera
1,FAST,BRISK,12.5156,12.313
2,FAST,BRISK,12.6142,12.1065
3,FAST,BRISK,14.091,13.9121
4,FAST,BRISK,16.6894,12.9991
5,FAST,BRISK,15.9082,-inf
6,FAST,BRISK,12.6787,13.2095
7,FAST,BRISK,11.9844,11.9908
8,FAST,BRISK,13.1241,11.7219
9,FAST,BRISK,13.0241,11.8126
10,FAST,BRISK,11.1746,14.9651
11,FAST,BRISK,12.8086,12.9992
12,FAST,BRISK,8.95978,12.2258
13,FAST,BRISK,9.96439,12.0819
14,FAST,BRISK,9.59863,11.4823
15,FAST,BRISK,8.57352,11.616
16,FAST,BRISK,9.51617,12.6742
17,FAST,BRISK,9.54658,9.93546
18,FAST,BRISK,8.3988,11.7904

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,FAST,BRIEF,12.5156,11.6858
2,FAST,BRIEF,12.6142,12.5287
3,FAST,BRIEF,14.091,18.0405
4,FAST,BRIEF,16.6894,14.2854
5,FAST,BRIEF,15.9082,28.4716
6,FAST,BRIEF,12.6787,13.5046
7,FAST,BRIEF,11.9844,13.5019
8,FAST,BRIEF,13.1241,12.4368
9,FAST,BRIEF,13.0241,12.9015
10,FAST,BRIEF,11.1746,13.7123
11,FAST,BRIEF,12.8086,14.4421
12,FAST,BRIEF,8.95978,12.9008
13,FAST,BRIEF,9.96439,12.0888
14,FAST,BRIEF,9.59863,11.9028
15,FAST,BRIEF,8.57352,12.4947
16,FAST,BRIEF,9.51617,13.0069
17,FAST,BRIEF,9.54658,10.428
18,FAST,BRIEF,8.3988,12.8237

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,FAST,ORB,12.5156,12.2019
2,FAST,ORB,12.6142,12.1667
3,FAST,ORB,14.091,14.4553
4,FAST,ORB,16.6894,14.2366
5,FAST,ORB,15.9082,54.5193
6,FAST,ORB,12.6787,13.8326
7,FAST,ORB,11.9844,12.6562
8,FAST,ORB,13.1241,11.4489
9,FAST,ORB,13.0241,12.9494
10,FAST,ORB,11.1746,13.6864
11,FAST,ORB,12.8086,13.3625
12,FAST,ORB,8.95978,12.9406
13,FAST,ORB,9.96439,12.7975
14,FAST,ORB,9.59863,12.535
15,FAST,ORB,8.57352,10.7965
16,FAST,ORB,9.51617,11.9816
17,FAST,ORB,9.54658,9.46201
18,FAST,ORB,8.3988,13.103

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,FAST,FREAK,12.5156,11.6549
2,FAST,FREAK,12.6142,26.3022
3,FAST,FREAK,14.091,13.1526
4,FAST,FREAK,16.6894,13.9803
5,FAST,FREAK,15.9082,-inf
6,FAST,FREAK,12.6787,12.2404
7,FAST,FREAK,11.9844,12.6562
8,FAST,FREAK,13.1241,11.4293
9,FAST,FREAK,13.0241,12.8711
10,FAST,FREAK,11.1746,13.3607
11,FAST,FREAK,12.8086,13.0144
12,FAST,FREAK,8.95978,11.9311
13,FAST,FREAK,9.96439,11.4708
14,FAST,FREAK,9.59863,11.4982
15,FAST,FREAK,8.57352,11.4218
16,FAST,FREAK,9.51617,12.2541
17,FAST,FREAK,9.54658,9.85034
18,FAST,FREAK,8.3988,11.7451

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,SHITOMASI,BRISK,12.5156,14.1113
2,SHITOMASI,BRISK,12.6142,12.9876
3,SHITOMASI,BRISK,14.091,13.4904
4,SHITOMASI,BRISK,16.6894,12.398
5,SHITOMASI,BRISK,15.9082,12.6602
6,SHITOMASI,BRISK,12.6787,14.5029
7,SHITOMASI,BRISK,11.9844,12.9069
8,SHITOMASI,BRISK,13.1241,15.5997
9,SHITOMASI,BRISK,13.0241,11.5126
10,SHITOMASI,BRISK,11.1746,14.685
11,SHITOMASI,BRISK,12.8086,11.3024
12,SHITOMASI,BRISK,8.95978,11.6524
13,SHITOMASI,BRISK,9.96439,11.7243
14,SHITOMASI,BRISK,9.59863,11.5069
15,SHITOMASI,BRISK,8.57352,9.33785
16,SHITOMASI,BRISK,9.51617,11.3079
17,SHITOMASI,BRISK,9.54658,11.4487
18,SHITOMASI,BRISK,8.3988,9.12792

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,SHITOMASI,BRIEF,12.5156,13.8948
2,SHITOMASI,BRIEF,12.6142,13.1487
3,SHITOMASI,BRIEF,14.091,12.8187
4,SHITOMASI,BRIEF,16.6894,13.3479
5,SHITOMASI,BRIEF,15.9082,12.1886
6,SHITOMASI,BRIEF,12.6787,14.1323
7,SHITOMASI,BRIEF,11.9844,18.3368
8,SHITOMASI,BRIEF,13.1241,12.3793
9,SHITOMASI,BRIEF,13.0241,11.9106
10,SHITOMASI,BRIEF,11.1746,13.3448
11,SHITOMASI,BRIEF,12.8086,12.1365
12,SHITOMASI,BRIEF,8.95978,11.848
13,SHITOMASI,BRIEF,9.96439,12.0205
14,SHITOMASI,BRIEF,9.59863,12.1726
15,SHITOMASI,BRIEF,8.57352,11.7948
16,SHITOMASI,BRIEF,9.51617,10.7161
17,SHITOMASI,BRIEF,9.54658,11.1503
18,SHITOMASI,BRIEF,8.3988,7.75039

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,SHITOMASI,ORB,12.5156,13.6954
2,SHITOMASI,ORB,12.6142,13.7007
3,SHITOMASI,ORB,14.091,11.8924
4,SHITOMASI,ORB,16.6894,12.1319
5,SHITOMASI,ORB,15.9082,12.1368
6,SHITOMASI,ORB,12.6787,14.0207
7,SHITOMASI,ORB,11.9844,13.401
8,SHITOMASI,ORB,13.1241,12.2022
9,SHITOMASI,ORB,13.0241,11.2653
10,SHITOMASI,ORB,11.1746,13.4962
11,SHITOMASI,ORB,12.8086,11.3246
12,SHITOMASI,ORB,8.95978,12.269
13,SHITOMASI,ORB,9.96439,12.3292
14,SHITOMASI,ORB,9.59863,11.5476
15,SHITOMASI,ORB,8.57352,10.2592
16,SHITOMASI,ORB,9.51617,12.0506
17,SHITOMASI,ORB,9.54658,11.1009
18,SHITOMASI,ORB,8.3988,8.43174

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,SHITOMASI,FREAK,12.5156,13.6884
2,SHITOMASI,FREAK,12.6142,13.1487
3,SHITOMASI,FREAK,14.091,11.4126
4,SHITOMASI,FREAK,16.6894,12.5425
5,SHITOMASI,FREAK,15.9082,12.3
6,SHITOMASI,FREAK,12.6787,14.2385
7,SHITOMASI,FREAK,11.9844,12.5645
8,SHITOMASI,FREAK,13.1241,12.8515
9,SHITOMASI,FREAK,13.0241,12.0414
10,SHITOMASI,FREAK,11.1746,13.0031
11,SHITOMASI,FREAK,12.8086,11.9855
12,SHITOMASI,FREAK,8.95978,11.8227
13,SHITOMASI,FREAK,9.96439,12.3436
14,SHITOMASI,FREAK,9.59863,11.8438
15,SHITOMASI,FREAK,8.57352,10.297
16,SHITOMASI,FREAK,9.51617,11.3079
17,SHITOMASI,FREAK,9.54658,11.4487
18,SHITOMASI,FREAK,8.3988,9.18809

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,HARRIS,FREAK,12.5156,8.81335
2,HARRIS,FREAK,12.6142,nan
3,HARRIS,FREAK,14.091,-10.295
4,HARRIS,FREAK,16.6894,11.7693
5,HARRIS,FREAK,15.9082,35.3833
6,HARRIS,FREAK,12.6787,13.5599
7,HARRIS,FREAK,11.9844,12.2792
8,HARRIS,FREAK,13.1241,12.9162
9,HARRIS,FREAK,13.0241,nan
10,HARRIS,FREAK,11.1746,10.2931
11,HARRIS,FREAK,12.8086,-inf
12,HARRIS,FREAK,8.95978,11.9536
13,HARRIS,FREAK,9.96439,13.4095
14,HARRIS,FREAK,9.59863,12.1403
15,HARRIS,FREAK,8.57352,-inf
16,HARRIS,FREAK,9.51617,6.71705
17,HARRIS,FREAK,9.54658,nan
18,HARRIS,FREAK,8.3988,nan

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,HARRIS,BRISK,12.5156,10.9082
2,HARRIS,BRISK,12.6142,10.195
3,HARRIS,BRISK,14.091,-80.8525
4,HARRIS,BRISK,16.6894,11.3951
5,HARRIS,BRISK,15.9082,-inf
6,HARRIS,BRISK,12.6787,12.9945
7,HARRIS,BRISK,11.9844,11.6612
8,HARRIS,BRISK,13.1241,13.5704
9,HARRIS,BRISK,13.0241,nan
10,HARRIS,BRISK,11.1746,-inf
11,HARRIS,BRISK,12.8086,-inf
12,HARRIS,BRISK,8.95978,11.9536
13,HARRIS,BRISK,9.96439,284.161
14,HARRIS,BRISK,9.59863,5.66097
15,HARRIS,BRISK,8.57352,-14.7808
16,HARRIS,BRISK,9.51617,6.65726
17,HARRIS,BRISK,9.54658,12.5848
18,HARRIS,BRISK,8.3988,-inf

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,HARRIS,BRIEF,12.5156,10.9082
2,HARRIS,BRIEF,12.6142,nan
3,HARRIS,BRIEF,14.091,-11.4731
4,HARRIS,BRIEF,16.6894,11.3951
5,HARRIS,BRIEF,15.9082,13.6432
6,HARRIS,BRIEF,12.6787,13.6217
7,HARRIS,BRIEF,11.9844,14.2744
8,HARRIS,BRIEF,13.1241,13.5704
9,HARRIS,BRIEF,13.0241,nan
10,HARRIS,BRIEF,11.1746,10.2931
11,HARRIS,BRIEF,12.8086,11.6702
12,HARRIS,BRIEF,8.95978,11.9536
13,HARRIS,BRIEF,9.96439,13.4095
14,HARRIS,BRIEF,9.59863,5.55228
15,HARRIS,BRIEF,8.57352,-14.7808
16,HARRIS,BRIEF,9.51617,6.71705
17,HARRIS,BRIEF,9.54658,12.5848
18,HARRIS,BRIEF,8.3988,-inf

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,BRISK,BRISK,12.5156,13.031
2,BRISK,BRISK,12.6142,23.0961
3,BRISK,BRISK,14.091,14.6503
4,BRISK,BRISK,16.6894,15.2025
5,BRISK,BRISK,15.9082,25.5059
6,BRISK,BRISK,12.6787,17.6743
7,BRISK,BRISK,11.9844,16.8563
8,BRISK,BRISK,13.1241,17.3141
9,BRISK,BRISK,13.0241,13.8959
10,BRISK,BRISK,11.1746,13.4047
11,BRISK,BRISK,12.8086,12.8176
12,BRISK,BRISK,8.95978,11.0073
13,BRISK,BRISK,9.96439,11.8505
14,BRISK,BRISK,9.59863,12.0376
15,BRISK,BRISK,8.57352,13.9556
16,BRISK,BRISK,9.51617,11.2969
17,BRISK,BRISK,9.54658,9.32673
18,BRISK,BRISK,8.3988,11.5236

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,BRISK,BRIEF,12.5156,13.8225
2,BRISK,BRIEF,12.6142,19.5646
3,BRISK,BRIEF,14.091,14.537
4,BRISK,BRIEF,16.6894,20.5163
5,BRISK,BRIEF,15.9082,17.7209
6,BRISK,BRIEF,12.6787,19.9254
7,BRISK,BRIEF,11.9844,19.1057
8,BRISK,BRIEF,13.1241,18.4531
9,BRISK,BRIEF,13.0241,16.7517
